,,FY2025 Q1,,FY2024 Q4,,FY2024 Q3,
Cost Rank, Product Name  ,Accuracy,BIAS,Accuracy,BIAS,Accuracy,BIAS
1,SWITCH Enterprise High ,84.94%,15.06%,94.26%,-5.74%,76.51%,23.49%
2,SWITCH Enterprise Ultra High ,66.61%,-33.39%,46.30%,-53.70%,93.05%,6.95%
3,SWITCH Enterprise Ultra High ,77.93%,-22.07%,8.94%,-91.06%,93.79%,-6.21%
4,SWITCH Enterprise Low,48.12%,-51.88%,72.99%,-27.01%,78.81%,-21.19%
5,TRANSCEIVER MODULE Mid,61.25%,38.75%,89.31%,-10.69%,99.28%,-0.72%
6,POWER SUPPLY High,86.60%,-13.40%,73.63%,-26.37%,87.42%,-12.58%
7,TRANSCEIVER MODULE High,18.98%,-81.02%,78.16%,-21.84%,47.25%,-52.75%
8,ACCESS POINT Mid,71.90%,-28.10%,46.60%,-53.40%,77.98%,-22.02%
9,POWER SUPPLY Mid,90.69%,9.31%,94.79%,-5.21%,85.92%,14.08%
10,SERVER ,80.58%,-19.42%,57.05%,-42.95%,72.41%,27.59%
11,PROCESSOR ,56.61%,43.39%,54.21%,-45.79%,63.74%,36.26%
12,SWITCH Data Center High,61.89%,-38.11%,51.91%,-48.09%,71.98%,-28.02%
13,TRANSCEIVER MODULE Mid,30.13%,-69.87%,81.91%,18.09%,31.12%,-68.88%
14,ROUTER Enterprise Mid ,82.68%,-17.32%,77.65%,-22.35%,81.09%,-18.91%
15,MEMORY ,0.00%,273.26%,0.00%,211.86%,64.99%,35.01%
16,ROUTER Enterprise Mid ,78.45%,-21.55%,58.29%,-41.71%,70.87%,-29.13%
17,SWITCH Data Center Mid,75.76%,24.24%,78.27%,21.73%,98.03%,1.97%
18,ROUTER Enterprise Low ,32.60%,-67.40%,86.97%,-13.03%,92.29%,-7.71%
19,SWITCH Data Center Mid,98.53%,-1.47%,79.11%,-20.89%,63.55%,-36.45%
20,SWITCH Enterprise High ,69.80%,-30.20%,59.38%,-40.63%,97.83%,-2.17%
